"","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","orginalID","species","AIC"
"50",169.907571195597,35,2.267,Inf,0.364887534845347,NA,NA,Inf,Inf,7.81,NA,50,"Abutilon theophrasti","44.1589524196063"
"51",209.716014868043,35,7.275,Inf,0.49521867500485,NA,NA,Inf,Inf,5.4,NA,51,"Abutilon theophrasti","24.2785306650097"
"52",1.96064475054265,36.714,0.158000000000001,52.009,0.695315547974622,1.06775492637915,2.47984234135791,15.295,51.851,9.08,-0.372439378404532,52,"Acer pseudoplatanus","-4.77056136666459"
"53",2.65714409784246,38.488,3.973,48.129,0.675343022369042,NA,2.41436427001995,9.641,44.156,7.095,NA,53,"Betula pendula","-4.68633480379151"
"54",2.06068304457383,38.063,4.806,74.927,0.700599088882222,NA,2.49458506802045,36.864,70.121,13.158,NA,54,"Fagus sylvatica","-7.2108204056938"
"55",2.60978040146313,50,7.677,Inf,0.344161241613197,NA,1.51527958886502,Inf,Inf,10.863,NA,55,"Fraxnius excelsior","-6.78626233429471"
"56",2.5189374785374,36.625,13.138,53.23,0.939654256273651,NA,3.38236720545876,16.605,40.092,9.48699999999999,NA,56,"Jugulars regia","-18.4777351743569"
"57",5.91071873438075,47.567,11.939,51.899,0.67725200896191,NA,2.36640684314577,4.332,39.96,5.245,NA,57,"Quercus petrea","1.7072782532677"
"58",2.40937959727126,40.697,5.463,58.572,0.488553982576129,NA,1.85279068315445,17.875,53.109,12.157,NA,58,"Quercus robur","-17.2354867274951"
"59",183.61167299794,37,11.236,Inf,0.704885762228107,NA,NA,Inf,Inf,3.346,NA,59,"Prunus persica","48.0089394188015"
"60",156.75837167809,40,-7.524,Inf,0.302290513247472,NA,NA,Inf,Inf,8.324,NA,60,"Glycine max","88.0073781968988"
"61",2.87631868085432,41.181,7.204,69.045,0.588669863628359,NA,2.09435361107857,27.864,61.841,9.91,NA,61,"Glycine max","-11.1250710145109"
"62",4.37678964414707,40.799,12.438,66.435,0.68762741019345,NA,2.3571680318213,25.636,53.997,9.432,NA,62,"Gossypium hirsutum","6.3442146883159"
"63",77.7433931209021,30,-2.553,Inf,0.544678738071853,NA,NA,Inf,Inf,3.455,NA,63,"Hordeum vulgare","20.1560967618266"
"64",174.645013757161,30,3.951,Inf,0.832757293301359,NA,2.97489375292628,Inf,Inf,2.107,NA,64,"Hordeum vulgare","40.47607977305"
"65",31.5475402472222,25.854,-10.504,47.855,0.494405818730338,0.504014339149836,NA,22.001,58.359,10.814,-0.00960852041949822,65,"Pinus sylvestris","30.2639588071212"
"66",32.3037248386311,28.328,4.614,52.303,0.539675995433837,NA,NA,23.975,47.689,10.107,NA,66,"Pinus sylvestris","18.1174135340773"
"67",33.0673848256856,25.675,-14.275,44.533,0.438115646535317,NA,NA,18.858,58.808,10.574,NA,67,"Pinus sylvestris","15.0492002750392"
"68",32.6729412274913,26.754,-6.12,57.281,0.552967504297696,NA,NA,30.527,63.401,11.388,NA,68,"Pinus sylvestris","22.6611263990826"
"69",44.5026117225639,37.5,-25.647,Inf,0.316421508195667,NA,NA,Inf,Inf,6.239,NA,69,"Fagus sylvatica","13.1798465718805"
"70",43.8467730174429,37.5,-18.963,Inf,0.363783944699673,NA,NA,Inf,Inf,5.504,NA,70,"Fagus sylvatica","20.748853830594"
"71",0.0704777058544209,30.503,17.665,Inf,NA,0.169705569196778,NA,Inf,Inf,16.209,NA,71,"Oryza australiensis","-38.8637606396087"
