ID,Species,Temp,Rate,units,Conditions,Source.,source.name
2,Gossypium hirsutum,26,100,relative rubisco activity (%),rapid heat acclimation,"Law and Crafts-Brandner, 1999","Inhibition and Acclimation of Photosynthesis to Heat Stress Is Closely Correlated with Activation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase"
2,Gossypium hirsutum,32.5,98,relative rubisco activity (%),rapid heat acclimation,"Law and Crafts-Brandner, 1999","Inhibition and Acclimation of Photosynthesis to Heat Stress Is Closely Correlated with Activation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase"
2,Gossypium hirsutum,35,97,relative rubisco activity (%),rapid heat acclimation,"Law and Crafts-Brandner, 1999","Inhibition and Acclimation of Photosynthesis to Heat Stress Is Closely Correlated with Activation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase"
2,Gossypium hirsutum,37.5,88,relative rubisco activity (%),rapid heat acclimation,"Law and Crafts-Brandner, 1999","Inhibition and Acclimation of Photosynthesis to Heat Stress Is Closely Correlated with Activation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase"
2,Gossypium hirsutum,40,64,relative rubisco activity (%),rapid heat acclimation,"Law and Crafts-Brandner, 1999","Inhibition and Acclimation of Photosynthesis to Heat Stress Is Closely Correlated with Activation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase"
2,Gossypium hirsutum,42.5,40,relative rubisco activity (%),rapid heat acclimation,"Law and Crafts-Brandner, 1999","Inhibition and Acclimation of Photosynthesis to Heat Stress Is Closely Correlated with Activation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase"
2,Gossypium hirsutum,45,1,relative rubisco activity (%),rapid heat acclimation,"Law and Crafts-Brandner, 1999","Inhibition and Acclimation of Photosynthesis to Heat Stress Is Closely Correlated with Activation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase"
3,Camelina sativa,20,0.1,fraction of sites activated/min,grown in air at 23/18°C ,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
3,Camelina sativa,23,0.108,fraction of sites activated/min,grown in air at 23/18°C ,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
3,Camelina sativa,25,0.118,fraction of sites activated/min,grown in air at 23/18°C ,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
3,Camelina sativa,27,0.11,fraction of sites activated/min,grown in air at 23/18°C ,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
3,Camelina sativa,30,0.1,fraction of sites activated/min,grown in air at 23/18°C ,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
3,Camelina sativa,35,0.05,fraction of sites activated/min,grown in air at 23/18°C ,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
3,Camelina sativa,37,0.008,fraction of sites activated/min,grown in air at 23/18°C ,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,20,0.07,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,23,0.08,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,25,0.09,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,27,0.1,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,30,0.105,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,33,0.11,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,35,0.075,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,37,0.06,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,40,0.04,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
4,Nicotiana tabacum,43,0.01,fraction of sites activated/min,grown in air at 28/23°C,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
5,Spinacia oleracea,10,88,rubisco activation %,low temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
5,Spinacia oleracea,15,93,rubisco activation %,low temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
5,Spinacia oleracea,25,83,rubisco activation %,low temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
5,Spinacia oleracea,30,74,rubisco activation %,low temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
5,Spinacia oleracea,35,58,rubisco activation %,low temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
5,Spinacia oleracea,37,40,rubisco activation %,low temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
5,Spinacia oleracea,40,30,rubisco activation %,low temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
6,Spinacia oleracea,15,86,rubisco activation %,high temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
6,Spinacia oleracea,20,95,rubisco activation %,high temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
6,Spinacia oleracea,30,98,rubisco activation %,high temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
6,Spinacia oleracea,35,78,rubisco activation %,high temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
6,Spinacia oleracea,37,66,rubisco activation %,high temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
6,Spinacia oleracea,40,60,rubisco activation %,high temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
6,Spinacia oleracea,42,43,rubisco activation %,high temperature ,"Yamori et al., 2006",Effects of Rubisco kinetics and Rubisco activation state on the temperature dependence of the photosynthetic rate in spinach leaves from contrasting growth temperatures
7,Ipomoea batatas,10,85,rubisco activation %,140ubar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
7,Ipomoea batatas,16,87,rubisco activation %,140ubar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
7,Ipomoea batatas,20,89,rubisco activation %,140ubar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
7,Ipomoea batatas,25,86,rubisco activation %,140ubar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
7,Ipomoea batatas,30,92,rubisco activation %,140ubar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
7,Ipomoea batatas,35,86,rubisco activation %,140ubar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
7,Ipomoea batatas,40,84,rubisco activation %,140ubar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
8,Ipomoea batatas,10,73,rubisco activation %,250 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
8,Ipomoea batatas,16,80,rubisco activation %,250 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
8,Ipomoea batatas,20,82,rubisco activation %,250 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
8,Ipomoea batatas,25,84,rubisco activation %,250 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
8,Ipomoea batatas,30,85,rubisco activation %,250 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
8,Ipomoea batatas,35,83,rubisco activation %,250 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
8,Ipomoea batatas,40,67,rubisco activation %,250 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
9,Ipomoea batatas,10,66,rubisco activation %,500 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
9,Ipomoea batatas,16,74,rubisco activation %,500 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
9,Ipomoea batatas,20,75,rubisco activation %,500 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
9,Ipomoea batatas,25,76,rubisco activation %,500 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
9,Ipomoea batatas,30,78,rubisco activation %,500 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
9,Ipomoea batatas,35,69,rubisco activation %,500 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
9,Ipomoea batatas,40,57,rubisco activation %,500 bar,Cen and Sage 2005,The Regulation of Rubisco Activity in Response to Variation in Temperature and Atmospheric CO2 Partial Pressure in Sweet Potato
10,Triticum aestivum,23,96,rubisco activity mol m-2 s-1,Grown 25C,"Feller, Crafts-Brandner and Salvucci, 1998","Moderately High Temperatures Inhibit Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase (Rubisco) Activase-Mediated Activation of Rubisco"
10,Triticum aestivum,30,98,rubisco activity mol m-2 s-1,Grown 25C,"Feller, Crafts-Brandner and Salvucci, 1998","Moderately High Temperatures Inhibit Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase (Rubisco) Activase-Mediated Activation of Rubisco"
10,Triticum aestivum,35,95,rubisco activity mol m-2 s-1,Grown 25C,"Feller, Crafts-Brandner and Salvucci, 1998","Moderately High Temperatures Inhibit Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase (Rubisco) Activase-Mediated Activation of Rubisco"
10,Triticum aestivum,40,96,rubisco activity mol m-2 s-1,Grown 25C,"Feller, Crafts-Brandner and Salvucci, 1998","Moderately High Temperatures Inhibit Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase (Rubisco) Activase-Mediated Activation of Rubisco"
10,Triticum aestivum,45,20,rubisco activity mol m-2 s-1,Grown 25C,"Feller, Crafts-Brandner and Salvucci, 1998","Moderately High Temperatures Inhibit Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase (Rubisco) Activase-Mediated Activation of Rubisco"
11,Oryza sativa,16,84,rubisco activation %,wild type,"Makino and Sage, 2007",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
11,Oryza sativa,20,86,rubisco activation %,wild type,"Makino and Sage, 2008",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
11,Oryza sativa,26,81,rubisco activation %,wild type,"Makino and Sage, 2009",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
11,Oryza sativa,32,76,rubisco activation %,wild type,"Makino and Sage, 2010",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
11,Oryza sativa,37,75,rubisco activation %,wild type,"Makino and Sage, 2011",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
11,Oryza sativa,40,50,rubisco activation %,wild type,"Makino and Sage, 2012",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
12,Oryza sativa,16,77,rubisco activation %,rbcS-sense,"Makino and Sage, 2013",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
12,Oryza sativa,20,80,rubisco activation %,rbcS-sense,"Makino and Sage, 2014",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
12,Oryza sativa,25,76,rubisco activation %,rbcS-sense,"Makino and Sage, 2015",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
12,Oryza sativa,32,74,rubisco activation %,rbcS-sense,"Makino and Sage, 2016",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
12,Oryza sativa,37,62,rubisco activation %,rbcS-sense,"Makino and Sage, 2017",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
12,Oryza sativa,42,40,rubisco activation %,rbcS-sense,"Makino and Sage, 2018",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
13,Oryza sativa,17,98,rubisco activation %,rbcS-antisense,"Makino and Sage, 2019",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
13,Oryza sativa,20,99,rubisco activation %,rbcS-antisense,"Makino and Sage, 2020",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
13,Oryza sativa,25,98,rubisco activation %,rbcS-antisense,"Makino and Sage, 2021",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
13,Oryza sativa,32,96,rubisco activation %,rbcS-antisense,"Makino and Sage, 2022",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
13,Oryza sativa,37,95,rubisco activation %,rbcS-antisense,"Makino and Sage, 2023",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
13,Oryza sativa,40,85,rubisco activation %,rbcS-antisense,"Makino and Sage, 2024",Temperature Response of Photosynthesis in Transgenic Rice Transformed with ‘Sense’ or ‘Antisense’ rbcS 
14,Larrea tridentata,12,100,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
14,Larrea tridentata,20,100,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
14,Larrea tridentata,27,100,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
14,Larrea tridentata,35,90,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
14,Larrea tridentata,40,75,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
14,Larrea tridentata,45,52,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
15,Larrea tridentata,12,0.1,rubisco activation At Amax-1,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
15,Larrea tridentata,20,0.55,rubisco activation At Amax0,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
15,Larrea tridentata,25,0.98,rubisco activation At Amax1,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
15,Larrea tridentata,32,1,rubisco activation At Amax2,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
15,Larrea tridentata,35,0.69,rubisco activation At Amax3,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
15,Larrea tridentata,40,0.18,rubisco activation At Amax4,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
15,Larrea tridentata,45,0.05,rubisco activation At Amax5,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
16,Deschampsia antarctica,12,98,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
16,Deschampsia antarctica,20,94,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
16,Deschampsia antarctica,25,80,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
16,Deschampsia antarctica,30,74,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
16,Deschampsia antarctica,35,65,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
16,Deschampsia antarctica,42,16,rubisco activation %,Normal conditions ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
17,Deschampsia antarctica,12,0.88,rubisco activation At Amax-1,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
17,Deschampsia antarctica,20,1,rubisco activation At Amax-1,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
17,Deschampsia antarctica,25,0.9,rubisco activation At Amax-1,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
17,Deschampsia antarctica,30,0.7,rubisco activation At Amax-1,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
17,Deschampsia antarctica,35,0.06,rubisco activation At Amax-1,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
17,Deschampsia antarctica,40,0.06,rubisco activation At Amax-1,recombinant activase ,"Salvucci and Crafts-Brandner, 2004b",Relationship between the Heat Tolerance of Photosynthesis and the Thermal Stability of Rubisco Activase in Plants from Contrasting Thermal Environments
18,Pisum sativum,25,96,rubisco activation state (%),Day.night temperature 25/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
18,Pisum sativum,30,89,rubisco activation state (%),Day.night temperature 25/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
18,Pisum sativum,35,84,rubisco activation state (%),Day.night temperature 25/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
18,Pisum sativum,37,68,rubisco activation state (%),Day.night temperature 25/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
18,Pisum sativum,40,47,rubisco activation state (%),Day.night temperature 25/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
18,Pisum sativum,42,28,rubisco activation state (%),Day.night temperature 25/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
18,Pisum sativum,45,22,rubisco activation state (%),Day.night temperature 25/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
19,Pisum sativum,25,95,rubisco activation state (%),Day/night 35/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
19,Pisum sativum,30,89,rubisco activation state (%),Day/night 35/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
19,Pisum sativum,35,76,rubisco activation state (%),Day/night 35/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
19,Pisum sativum,37,62,rubisco activation state (%),Day/night 35/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
19,Pisum sativum,40,44,rubisco activation state (%),Day/night 35/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
19,Pisum sativum,42,40,rubisco activation state (%),Day/night 35/18,"Haldimann and Feller, 2005",Growth at moderately elevated temperature alters the physiological response of the photosynthetic apparatus to heat stress in pea (Pisum sativum L.) leaves
20,Quercus pubescens,25,88,rubisco activation state (%),Normal conditions ,"Haldimann and Feller, 2004","Inhibition of photosynthesis by high temperature in oak (Quercus pubescens L.) leaves grown under natural conditions closely correlates with a reversible heat-dependent reduction of the activation state of ribulose-1,5-bisphosphate carboxylase/oxygenase"
20,Quercus pubescens,30,84,rubisco activation state (%),Normal conditions ,"Haldimann and Feller, 2004","Inhibition of photosynthesis by high temperature in oak (Quercus pubescens L.) leaves grown under natural conditions closely correlates with a reversible heat-dependent reduction of the activation state of ribulose-1,5-bisphosphate carboxylase/oxygenase"
